STT,Act,E HOMO,E LUMO,E total,C8,C7,C6,C5,C10,C9,C1P,C6P,C5P,C4P,C3P,C2P,SUR,VOL,HYD,LOGP,REF,POL,Act=log(1/Ki)
1,1.15,-9.4,-1.03,-65836.16,0.002,-0.014,0.049,-0.007,0.055,0.112,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,373.49,726.58,-4.33,1.04,82.6,27.98,1.15
2,0.9,-9.18,-0.88,-61493.79,0.001,-0.025,-0.019,-0.019,0.054,0.112,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,369.82,717.39,-3.53,1.14,79.35,27.19,0.9
3,0.79,-9.23,-1,-64991.56,0.002,-0.009,0.072,-0.002,0.055,0.112,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,364.22,708.58,-4.34,0.77,79.78,27.28,0.79
4,0.56,-9.78,-1.48,-74907.58,0.003,-0.004,0.111,0.002,0.055,0.112,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,387.07,727.72,-10.4,0.17,81.29,27.2,0.56
5,0.24,-9.06,-0.93,-64817.91,0.004,0.003,0.102,0.01,0.056,0.113,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,343.82,686.81,-11.43,-0.04,76.67,25.99,0.24
6,0.07,-9.01,-0.9,-68254.09,0.004,0.003,0.105,0.01,0.056,0.112,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,385.25,741.72,-6.35,-0.01,81.44,27.83,0.07
7,-0.65,-9.4,-1.06,-67838.73,0.004,0.009,0.153,0.015,0.056,0.113,0.019,-0.025,-0.031,-0.031,-0.031,-0.025,341.08,674.54,-4.39,0.39,75.19,25.26,-0.65
8,0,-9.3,-0.9,-58041.29,0.001,-0.028,-0.03,-0.022,0.053,0.112,0.02,-0.025,-0.031,-0.031,-0.031,-0.025,327.74,665.81,-4.63,0.99,75.07,25.36,0
9,3,-9.71,-1.62,-82701.79,0.002,-0.014,0.049,-0.007,0.055,0.112,0.02,-0.025,-0.029,-0.007,0.111,-0.001,429.48,788.35,-9.88,0.22,88.82,29.82,3
10,2.25,-9.46,-1.52,-78359.65, 0.001,-0.025,-0.019,-0.019,0.054,0.112,0.02,-0.025,-0.029,-0.007,0.111,-0.001,425.83,779.35,-9.08,0.33,85.57,29.03,2.25
11,2.1,-9.45,-1.6,-81857.23,0.002,-0.009,0.072,-0.002,0.055,0.112,0.02,-0.025,-0.029,-0.007,0.111,-0.001,420.2,769.89,-9.89,-0.05,86,29.12,2.1
12,1.59,-10.25,-1.86,-91772.7,0.003,-0.004,0.111,0.002,0.055,0.112,0.02,-0.025,-0.029,-0.007,0.111,-0.001,443.04,788.96,-15.95,-0.64,87.5,29.04,1.59
13,0.74,-9.72,-1.64,-84704.34,0.004,0.009,0.153,0.015,0.056,0.113,0.02,-0.025,-0.029,-0.007,0.111,-0.001,397.06,736.94,-9.94,-0.43,81.41,27.11,0.74
14,0.55,-9.63,-1.54,-74907.12,0.001,-0.028,-0.03,-0.022,0.053,0.112,0.02,-0.025,-0.029,-0.007,0.111,-0.001,383.73,727.22,-10.18,0.17,81.29,27.2,0.55
15,1.72,-9.51,-1.19,-73631.16,0.002,-0.014,0.049,-0.007,0.055,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,417.23,788.04,-3.91,1.09,90.13,30.61,1.72
16,1.89,-9.27,-1.05,-69288.85,0.001,-0.025,-0.019,-0.019,0.054,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,413.56,779.32,-3.11,1.19,86.88,29.82,1.89
17,1.64,-9.3,-1.16,-72786.57,0.002,-0.009,0.072,-0.002,0.055,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,407.96,770.11,-3.92,0.82,87.32,29.91,1.64
18,1.6,-9.92,-1.52,-82702.42,0.003,-0.004,0.111,0.002,0.055,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,430.8,789.15,-9.98,0.22,88.82,29.82,1.6
19,0.63,-9.51,-1.21,-75633.71,0.004,0.009,0.153,0.015,0.056,0.113,0.02,-0.025,-0.03,-0.016,0.049,-0.01,384.82,736.85,-3.97,0.44,82.73,27.89,0.63
20,0.38,-9.41,-1.08,-65836.34,0.001,-0.028,-0.03,-0.022,0.053,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,371.47,727.16,-4.21,1.04,82.6,27.98,0.38
21,0,-9.13,-1.1,-72612.95,0.004,0.003,0.102,0.01,0.056,0.112,0.02,-0.025,-0.03,-0.016,0.049,-0.01,387.56,748.43,-11,0.01,84.21,28.62,0
