Ngay,Gio,Luong_mua,Truot_lo
1/1/2008,1,0.0,0
1/1/2008,2,0.5,0
1/1/2008,3,1.0,0
1/1/2008,4,0.5,0
1/1/2008,5,0.2,0
1/1/2008,6,2.0,0
1/1/2008,7,0.9,0
1/1/2008,8,0.2,0
1/1/2008,9,0.0,0
1/1/2008,10,0.0,0
1/1/2008,11,0.0,0
1/1/2008,12,0.0,0
1/1/2008,13,1.3,0
1/1/2008,14,0.3,0
1/1/2008,15,0.3,0
1/1/2008,16,0.5,0
1/1/2008,17,0.6,0
1/1/2008,18,0.0,0
1/1/2008,19,0.0,0
1/1/2008,20,0.0,0
1/1/2008,21,0.0,0
1/1/2008,22,0.2,0
1/1/2008,23,0.0,0
1/1/2008,24,0.4,0
1/2/2008,1,0.0,0
1/2/2008,2,0.0,0
1/2/2008,3,0.0,0
1/2/2008,4,0.0,0
1/2/2008,5,0.0,0
1/2/2008,6,0.0,0
1/2/2008,7,0.4,0
1/2/2008,8,0.5,0
1/2/2008,9,0.6,0
1/2/2008,10,0.6,0
1/2/2008,11,0.8,0
1/2/2008,12,0.4,0
1/2/2008,13,0.3,0
1/2/2008,14,0.6,0
1/2/2008,15,0.6,0
1/2/2008,16,0.5,0
1/2/2008,17,0.2,0
1/2/2008,18,0.0,0
1/2/2008,19,0.4,0
1/2/2008,20,0.2,0
1/2/2008,21,0.2,0
1/2/2008,22,0.6,0
1/2/2008,23,0.2,0
1/2/2008,24,0.0,0
1/3/2008,1,0.0,0
1/3/2008,2,0.0,0
1/3/2008,3,0.0,0
1/3/2008,4,0.0,0
1/3/2008,5,0.0,0
1/3/2008,6,0.0,0
1/3/2008,7,0.0,0
1/3/2008,8,0.0,0
1/3/2008,9,0.0,0
1/3/2008,10,0.0,0
1/3/2008,11,0.2,0
1/3/2008,12,0.3,0
1/3/2008,13,0.0,0
1/3/2008,14,0.0,0
1/3/2008,15,0.0,0
1/3/2008,16,0.0,0
1/3/2008,17,0.0,0
1/3/2008,18,0.0,0
1/3/2008,19,0.0,0
1/3/2008,20,0.0,0
1/3/2008,21,0.2,0
1/3/2008,22,0.0,0
1/3/2008,23,0.0,0
1/3/2008,24,0.0,0
1/4/2008,1,0.0,0
1/4/2008,2,0.0,0
